date,tokens,likes,retweets,mencoes,hashtags,emojis
2020-10-02,"['1', 'ramal', 'agresteestação', 'bombeamento', 'vii', 'sertâniap', 'youtub']",21283,3866,[],[],[]
2020-10-01,"['live', 'semana', 'sobr', 'fato', 'açõ', 'último', 'dia', 'govbr', 'acompanh', 'youtub']",9616,1802,['govbr'],[],[]
2020-10-01,"['josé', 'egito', 'pernambuco']",19295,3559,[],[],[]
2020-10-01,"['entrega', 'obra', 'distribuição', 'água', 'nordest', '2ª', 'etapa', 'sistema', 'adutor', 'pajeú', 'josé', 'egitop', 'cerca', '100', 'mil', 'pessoa', 'beneficiada', 'deu', 'continu', 'abençoando', 'nordest', 'brasil', 'youtub']",25346,5335,[],[],[]
2020-10-01,"['campina', 'grandeparaíba', 'youtub']",19382,3880,[],[],[]
2020-09-30,"['pronunciamento', 'cúpula', 'biodiversidad', 'onu', 'link', 'youtub']",858,162,[],[],[]
2020-09-30,['6'],484,73,[],[],[]
2020-09-30,['6'],519,87,[],[],[]
2020-09-30,"['5', 'custo', 'entend', 'chefe', 'estado', 'reabriu', 'plenament', 'diplomacia', 'estado', 'unido', 'década', 'governo', 'hosti', 'tão', 'desastrosa', 'gratuita', 'declaração', 'lamentável', 'sr', 'joe', 'biden', 'sob', 'todo', 'aspecto', 'lamentável']",907,134,[],[],[]
2020-09-30,"['4', 'cobiça', 'algun', 'país', 'sobr', 'amazônia', 'realidad', 'contudo', 'externação', 'alguém', 'disputa', 'comando', 'paí', 'sinaliza', 'clarament', 'abrir', 'mão', 'convivência', 'cordial', 'profícua']",959,137,[],[],[]
2020-09-30,"['3', 'governo', 'realizando', 'açõ', 'precedent', 'proteg', 'amazônia', 'cooperação', 'eua', 'bemvinda', 'inclus', 'projeto', 'investimento', 'sustentável', 'criem', 'emprego', 'digno', 'população', 'amazônica', 'tal', 'conversado', 'president', 'trump']",1489,222,[],[],[]
2020-09-30,"['2', 'algun', 'ainda', 'entenderam', 'brasil', 'mudou', 'hoje', 'president', 'diferentement', 'esquerda', 'aceita', 'suborno', 'criminosa', 'demarcaçõ', 'infundada', 'ameaça', 'soberania', 'inegociável']",2147,382,[],[],[]
2020-09-30,"['1', 'candidato', 'presidência', 'eua', 'joe', 'biden', 'diss', 'ontem', 'poderia', 'pagar', 'u', '20', 'bilhõ', 'pararmo', 'destruir', 'amazônia', 'imporia', 'séria', 'restriçõ', 'econômica']",2758,578,[],[],[]
2020-09-30,['rogeriosmarinho'],166,16,['rogeriosmarinho'],[],['🤝']
2020-09-29,['tarcisiogdf'],319,23,['tarcisiogdf'],[],"['🇧🇷', '🤝', '🚂']"
2020-09-29,[],98,16,['mdregional_br'],[],['👍']
2020-09-29,"['terezacr', 'damaresalv', 'dhumanosbrasil', 'govbr', 'fschwank']",382,31,"['TerezaCrisMS', 'DamaresAlves', 'Mapa_Brasil', 'DHumanosBrasil', 'govbr', 'FSchwanke']",[],"['🇧🇷', '🤝']"
2020-09-29,"['cerimônia', 'sanção', 'lei', '14064', 'lei', 'sansão', 'agrava', 'pena', 'contra', 'maltratar', 'cãe', 'gato']",2882,457,[],[],[]
2020-09-29,"['pior', 'decisão', 'mal', 'tomada', 'indecisão', 'tempo', 'aceitamo', 'sugestõ', 'bom', 'dia', 'todo', 'link', 'youtub']",153,23,[],[],[]
2020-09-29,"['6', 'responsabilidad', 'fiscal', 'respeito', 'teto', 'trilho', 'economia', 'aberto', 'sugestõ', 'juntament', 'lídere', 'partidário', '7', 'auxílio', 'emergenci', 'infelizment', 'demagogo', 'comunista', 'pode', 'sempr']",217,32,[],[],[]
2020-09-29,"['5', 'responsávei', 'destruição', 'milhõ', 'emprego', 'agora', 'calam', 'governo', 'busca', 'antecipar', 'grave', 'problema', 'sociai', 'podem', 'surgir', '2021', 'caso', 'nada', 'faça', 'atend', 'massa', 'tudo', 'quas', 'tudo', 'perdeu']",298,45,[],[],[]
2020-09-29,"['4', 'política', 'fiqu', 'casa', 'economia', 'gent', 'vê', 'acab', 'chegou', 'imprensa', 'tanto', 'apoiou', 'fiqu', 'casa', 'agora', 'apresenta', 'opçõ', 'atend', 'milhõ', 'desassistido']",316,62,[],[],[]
2020-09-29,"['3', 'verdad', 'pensando', '2021', 'poi', 'milhõ', 'brasileiro', 'perderam', 'emprego', 'renda', 'deixarão', 'receb', 'auxílio', 'emergenci', 'partir', 'janeiro2021']",432,73,[],[],[]
2020-09-29,"['2', 'crescent', 'popularidad', 'importuna', 'adversário', 'grand', 'part', 'imprensa', 'rotulam', 'qualquer', 'ação', 'eleitoreira', 'nada', 'faço', 'omisso', 'faço', 'pensando', '2022']",579,107,[],[],[]
2020-09-29,"['1', 'longo', 'vida', 'parlamentar', 'nunca', 'preocupei', 'reeleição', 'sempr', 'exerci', 'trabalho', 'convicção', 'voto', 'consequência']",1263,223,[],[],[]
2020-09-29,"['c', 'rio', 'grand', 'sul', 'estrutura', 'concreto', 'sinalizada', 'nova', 'pont', 'guaíba', 'fase', 'final', 'acabamento', 'abertura', 'vão', 'central', '29km', 'pont', 'confirmada', 'novembro', 'obra', '2014', 'finalment', 'aberta', 'tráfego', 'informaçõ', 'dnitofici', 'marceloscf2']",120,19,"['DNIToficial', 'Marceloscf2']",[],[]
2020-09-29,"['b', 'entrega', 'antecipada', 'obra', 'anel', 'viário', 'br153060', 'goiânia', 'aparecida', '17km', 'via', 'dupla', 'ligação', 'br', '060', '153', 'incluindo', 'ampliação', 'infraestrutura', 'obra', 'iniciada', 'governo', 'brasil', 'concluída', '2', 'mese', 'ant', 'prazo']",254,38,[],[],[]
2020-09-29,"['liberado', '95km', 'pista', 'dupla', 'br050goiá', 'catalão', 'chegamo', '91', 'conclusão', '2185km', 'previsto', 'solo', 'goiano', 'rodovia', 'princip', 'corredor', 'ligação', 'estado', 'triângulo', 'mineiro', 'paulo', 'detalh', 'minfraestrutura', 'tarcisiogdf']",973,173,"['MInfraestrutura', 'tarcisiogdf']",[],[]
2020-09-28,['mineconomia'],197,20,['MinEconomia'],[],['👍']
2020-09-28,"['defesagovbr', 'marmilbr', 'exercitoofici']",159,23,"['DefesaGovBr', 'marmilbr', 'exercitooficial', 'fab_oficial']",[],['🤝']
2020-09-28,"['sociedad', 'européia', 'cardiologia', 'afirma', 'uso', 'hidroxicloroquina', 'causa', 'arritmia', 'milhar', 'vida', 'poderiam', 'ter', 'sido', 'salva', 'caso', 'hcq', 'sido', 'politizada', 'link', 'youtub']",15795,4457,[],[],[]
2020-09-28,"['tarcisiogdf', 'adiant', 'ministro']",9210,665,['tarcisiogdf'],[],[]
2020-09-28,['carlosbolsonaro'],3406,199,['CarlosBolsonaro'],[],"['🇧🇷', '🤝']"
2020-09-28,"['minfraestrutura', 'govbr']",1168,109,"['MInfraestrutura', 'govbr']",[],"['🇧🇷', '👍']"
2020-09-28,"['frase', 'década', 'interess', 'sempr']",20115,5843,[],[],[]
2020-09-27,"['caio', 'coppola', 'cnn', 'visão', 'sobr', 'governo']",47531,11542,[],[],[]
2020-09-27,"['carlosbolsonaro', 'govbr']",6214,420,"['CarlosBolsonaro', 'govbr']",[],['👍']
2020-09-27,"['rogeriosmarinho', 'codevasf']",1632,130,"['rogeriosmarinho', 'N_lidaSvidaPF', 'codevasf']",[],"['🇧🇷', '👍🏻']"
2020-09-27,"['sgpresidencia', 'ppinvestimento']",1452,80,"['SGPresidencia', 'ppinvestimentos']",[],['🤝']
2020-09-27,"['cguonlin', 'pfdobrasil']",503,74,"['CGUonline', 'PFdoBrasil', 'MPF_PGR']",[],['🤝']
2020-09-27,"['marmilbr', 'icmbio']",1198,107,"['marmilbr', 'ICMBio']",[],"['🇧🇷', '🤝']"
2020-09-27,"['rsallesmma', 'curioso']",18776,1548,['rsallesmma'],[],[]
2020-09-27,[],1158,95,['fab_oficial'],[],['🇧🇷']
2020-09-27,['prfbrasil'],2541,175,['PRFBrasil'],[],['👌']
2020-09-27,"['andorinha', 'faz', 'verão', 'todo', 'verão', 'começa', 'andorinha', 'sement', 'alegria', 'dia', 'hoje', 'deu', 'abenço', 'brasil', 'youtub']",28784,5725,[],[],[]
2020-09-27,"['imprensa', 'nunca', 'mostrou', 'boa', 'noit', 'todo']",36005,6390,[],[],[]
2020-09-26,"['pareci', 'vanguarda', 'queremo', 'índio', 'brasil', 'peço', 'compartilhar', 'youtub']",12915,4798,[],[],[]
2020-09-26,"['bom', 'trabalho', 'hoje', 'campeão', 'borrachinhamma']",56525,4984,['BorrachinhaMMA'],[],[]
2020-09-26,"['embaixadoryossi', 'jorgeseif', 'bolsonarosp', 'israelmfa', 'fort', 'abraço', 'embaixador']",401,54,"['embaixadoryossi', 'jorgeseif', 'BolsonaroSP', 'IsraelMFA']",[],"['🇧🇷', '🇮🇱', '🤝']"
2020-09-26,"['visita', 'entrega', 'materi', 'polícia', 'rodoviária', 'feder', 'prfbrasil', 'rio', 'janeirorj']",16429,3021,['PRFBrasil'],[],[]
2020-09-26,"['marceloscf2', 'tarcisiogdf']",1921,111,"['Marceloscf2', 'tarcisiogdf']",[],"['🇧🇷', '👍']"
2020-09-26,['rsallesmma'],3512,200,['rsallesmma'],[],['🤝']
2020-09-26,"['caminhãoagência', 'cef', 'instalado', 'missão', 'velha', 'ceará', '14', 'dia', 'apó', 'pouso', 'previsto', 'cidad', 'caixa', 'sempr', 'preocupada', 'social', 'lembro', 'tarifa', 'chequ', 'especi', 'caixa', '18', 'mê', 'janeiro', '2019', 'início', 'governo', '14']",20327,4111,['Caixa'],[],[]
2020-09-25,['jorgeseif'],3253,197,['jorgeseif'],[],"['🇧🇷', '👍', '🐟']"
2020-09-25,"['g', 'força', 'armada', 'atuam', 'semana', 'locai', 'atingido', 'açõ', 'sempr', 'divulgada', 'rede', 'sociai', 'aviõ', 'helicóptero', 'homen', 'combat', 'incêndio', 'detalh', 'perfi', 'defesagovbr', 'exercitoofici', 'marmilbr']",5658,1270,"['DefesaGovBr', 'exercitooficial', 'marmilbr', 'fab_oficial']",[],[]
